π Ô.Ô.	¬ÂÏˇ	π Œ–	Tt	Nt, Ã¬Ú	“‚ı, „.	πÍ‡Ì.	HÓ, %	dH1, ÒÏ.	dH2, ÒÏ.	J, A	dTÏ, ÒÂÍ	Ro, %	Ah, %/ÒÏ	An, %/Ã¬Ú	S^2, %	‘‡ÈÎ
1	01:44:26	10	3	2370.7	292.97	1	83.31	-12	0	7.4504E-05	5.992	1.0515E-04	3.1434E-03	-2.4897E-04	1.2502E-07	œŒ√–”∆≈Õ»≈ 12.DAT
2	01:52:04	10	3	2379.5	293	1	80.11	-14	0	7.5612E-05	6.947	4.4420E-04	2.9508E-03	-2.5457E-04	1.2868E-07	œŒ√–”∆≈Õ»≈ 12.DAT
3	01:55:26	10	3	2376.2	292.96	1	76.37	-10	0	7.6303E-05	4.937	4.5780E-04	3.5282E-03	-2.4660E-04	1.2667E-07	œŒ√–”∆≈Õ»≈ 12.DAT
4	01:58:44	10	3	2380.1	293	1	73.71	-12	0	7.7183E-05	5.959	-1.3945E-05	3.0525E-03	-2.3714E-04	1.5441E-07	œŒ√–”∆≈Õ»≈ 12.DAT
5	02:01:59	10	3	2376.1	292.98	1	70.51	-12	0	7.7751E-05	5.959	1.6325E-04	3.8464E-03	-2.5348E-04	1.4966E-07	œŒ√–”∆≈Õ»≈ 12.DAT
6	02:06:08	10	3	2375.3	292.98	1	67.31	-8	0	7.8611E-05	3.981	7.0819E-04	4.8598E-03	-2.8648E-04	9.5779E-08	œŒ√–”∆≈Õ»≈ 12.DAT
7	02:08:54	10	3	2374.6	293	1	65.17	-10	0	7.9326E-05	4.937	4.3386E-04	3.9234E-03	-2.8160E-04	9.9005E-08	œŒ√–”∆≈Õ»≈ 12.DAT
8	02:11:58	10	3	2386.7	293.05	1	62.51	-10	0	8.0443E-05	4.904	3.5008E-04	3.8741E-03	-2.8886E-04	1.4969E-07	œŒ√–”∆≈Õ»≈ 12.DAT
9	02:14:55	10	3	2394.8	293.07	1	59.84	-12	0	8.1361E-05	5.926	-2.1129E-04	4.0057E-03	-2.5026E-04	3.4807E-07	œŒ√–”∆≈Õ»≈ 12.DAT
10	02:17:35	10	4.92	2381.6	293.01	1	56.64	-10	0	8.1697E-05	4.904	4.6115E-04	3.3878E-03	-3.7608E-04	1.7743E-07	œŒ√–”∆≈Õ»≈ 12.DAT
11	02:20:31	10	3	2387.9	293.04	1	53.97	-10	0	8.2418E-05	4.937	-6.0597E-04	-3.4496E-04	7.5678E-05	2.2204E-07	œŒ√–”∆≈Õ»≈ 12.DAT
12	02:20:31	10	3	2388.1	293.04	1	53.97	-10	0	8.2422E-05	5.003	4.5703E-04	4.1849E-03	-3.0677E-04	2.3597E-07	œŒ√–”∆≈Õ»≈ 12.DAT
13	02:23:23	10	3	2386.1	293.05	1	51.31	-10	0	8.2937E-05	5.036	2.9809E-04	4.1990E-03	-3.0319E-04	2.2991E-07	œŒ√–”∆≈Õ»≈ 12.DAT
14	02:26:19	10	3	2383.2	293.05	1	48.64	-10	0	8.3401E-05	4.937	-1.7761E-04	3.5151E-03	-2.9391E-04	2.7674E-07	œŒ√–”∆≈Õ»≈ 12.DAT
15	02:29:17	10	3.07	2382.3	293.02	1	45.97	-10	0	8.3740E-05	5.003	3.1760E-04	3.8372E-03	-3.2360E-04	2.6621E-07	œŒ√–”∆≈Õ»≈ 12.DAT
16	02:32:31	10	3.09	2383.1	293.02	1	43.31	-12	0	8.4168E-05	6.024	-3.8568E-05	3.7291E-03	-3.1016E-04	4.6202E-07	œŒ√–”∆≈Õ»≈ 12.DAT
17	02:36:20	10	3.46	2378.2	293.02	1	40.11	-8	0	8.4431E-05	4.037	3.4083E-05	3.7894E-03	-3.5814E-04	5.3573E-07	œŒ√–”∆≈Õ»≈ 12.DAT
18	02:39:23	10	3.33	2383.1	293.05	1	37.97	-10	0	8.4892E-05	4.967	-1.4608E-03	3.2995E-03	-3.5383E-04	3.8355E-07	œŒ√–”∆≈Õ»≈ 12.DAT
19	02:42:54	10	3.28	2381.9	293.03	1	35.31	-24	0	8.5059E-05	12.01	-4.3390E-05	3.3661E-03	-3.3629E-04	5.4883E-07	œŒ√–”∆≈Õ»≈ 12.DAT
20	02:52:00	10	5	2378.9	293.03	1	28.91	-8	0	8.5472E-05	3.938	-4.7727E-04	3.0850E-03	-3.9502E-04	6.3751E-07	œŒ√–”∆≈Õ»≈ 12.DAT
21	02:55:08	10	5	2379.5	293.02	1	26.77	-8	0	8.5647E-05	3.971	-1.6190E-03	2.9165E-03	-4.3869E-04	6.1104E-07	œŒ√–”∆≈Õ»≈ 12.DAT
22	02:58:08	10	5	2381.8	293.03	1	24.64	-10	0	8.5865E-05	5.067	-1.0196E-04	2.8661E-03	-4.8028E-04	7.2632E-07	œŒ√–”∆≈Õ»≈ 12.DAT
23	03:01:27	10	5	2379.9	293.01	1	21.97	-10	0	8.5866E-05	4.934	-1.3572E-03	2.6431E-03	-3.6613E-04	6.7525E-07	œŒ√–”∆≈Õ»≈ 12.DAT
24	03:04:59	10	5	2380.6	293.03	1	19.31	-12	0	8.6096E-05	5.963	-1.2898E-03	2.2131E-03	-4.4920E-04	7.7813E-07	œŒ√–”∆≈Õ»≈ 12.DAT
25	03:08:26	10	5	2379.9	293.01	1	16.11	-12	0	8.6154E-05	5.963	-4.9564E-04	1.7303E-03	-4.6560E-04	4.8929E-07	œŒ√–”∆≈Õ»≈ 12.DAT
