¬ÂÏˇ	J1	J2	J3	R1	R2	R3	60 10JAA10FP901XQ01 P ‰‡‚Î ‚ ‡Á    	82 10JEC01FT901XQ51 “ ’ —– √÷“    	77 10JEC02FT901XQ51 “ √–◊ —– √÷“  	232 10JEA00FP001XQ01 —–(P) œ√ 	102 10JDA00FG912XQ02 œŒ√– √– 12 Œ– —”«	101 10JDA00FG911XQ02 œŒ√– √– 11 Œ– —”«	100 10JDA00FG910XQ02 œŒ√– √– 10 Œ– —”«	241 10JEF10FL902XQ01 L ¬  ƒ JEF10BB001 	237 10JEA10CL004XQ01 ”–Œ¬≈Õ‹  Œ“ÀŒ¬Œ… ¬Œƒ€	51 10KUA12CQ001XQ51 — ¡Œ–    	53 10KBA40CQ001XQ01 Q ¡Œ– ¬ œŒƒœ 1  	63 10JEC00FF903XQ02 —”ÃÃ Œ¡ F ◊/« –≈¿ “ 	54 10JKS00FU901XQ02 N ¿ «, %   	59 10MKA01FE901XQ01 N ›À, %   	243 10JKS10FX901XQ01 Œ‘—≈“    	
18524523.614	4.1016E-05	4.07587E-05	7.8224E-13	0.1243	0.124	0.1066	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.649	4.10187E-05	4.076E-05	7.8072E-13	0.1242	0.1239	0.1052	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.675	4.1016E-05	4.07627E-05	7.7928E-13	0.124	0.1238	0.104	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.709	4.10107E-05	4.07627E-05	7.7872E-13	0.1237	0.1237	0.1038	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.744	4.1012E-05	4.07627E-05	7.7784E-13	0.1236	0.1235	0.1031	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.77	4.10093E-05	4.076E-05	7.7792E-13	0.1234	0.1234	0.1036	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.804	4.10053E-05	4.0756E-05	7.7888E-13	0.1232	0.1231	0.105	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.839	4.10053E-05	4.07533E-05	7.804E-13	0.1231	0.1229	0.1071	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.865	4.09987E-05	4.0756E-05	7.8504E-13	0.1228	0.1229	0.1125	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.9	4.1E-05	4.076E-05	7.8776E-13	0.1227	0.1228	0.1157	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.925	4.10013E-05	4.076E-05	7.9176E-13	0.1226	0.1227	0.1202	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.96	4.1E-05	4.07653E-05	7.9408E-13	0.1225	0.1227	0.1227	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524523.995	4.1004E-05	4.07693E-05	7.9496E-13	0.1224	0.1226	0.1236	15.85056	290.1726	302.0994	6.797302	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90906.16	1209.66624	0.1958211	-4.255711
18524524.02	4.1004E-05	4.0768E-05	7.9688E-13	0.1223	0.1225	0.1257	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.055	4.10053E-05	4.07707E-05	7.9792E-13	0.1222	0.1224	0.1267	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.081	4.10107E-05	4.07707E-05	7.9936E-13	0.1222	0.1223	0.1281	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.116	4.10093E-05	4.07653E-05	8.0016E-13	0.122	0.122	0.1289	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.15	4.1008E-05	4.0764E-05	8.0256E-13	0.1218	0.1218	0.1313	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.176	4.1008E-05	4.0764E-05	8.0528E-13	0.1217	0.1217	0.134	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.211	4.10067E-05	4.07613E-05	8.0688E-13	0.1215	0.1215	0.1355	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.236	4.10053E-05	4.0764E-05	8.1032E-13	0.1214	0.1215	0.1389	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.271	4.1E-05	4.0764E-05	8.12E-13	0.1211	0.1213	0.1403	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.306	4.09987E-05	4.07627E-05	8.152E-13	0.121	0.1212	0.1433	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.332	4.0996E-05	4.07653E-05	8.164E-13	0.1208	0.1211	0.1442	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.366	4.09907E-05	4.0764E-05	8.18E-13	0.1206	0.1209	0.1455	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.392	4.0988E-05	4.07627E-05	8.1808E-13	0.1204	0.1208	0.1452	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.427	4.09853E-05	4.07587E-05	8.1744E-13	0.1202	0.1206	0.1442	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.461	4.0988E-05	4.07547E-05	8.1536E-13	0.1201	0.1204	0.1416	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.487	4.09907E-05	4.0752E-05	8.14E-13	0.1201	0.1202	0.1399	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.522	4.09907E-05	4.07493E-05	8.1048E-13	0.12	0.12	0.136	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.556	4.09947E-05	4.07507E-05	8.0824E-13	0.1199	0.1199	0.1334	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.582	4.09987E-05	4.07533E-05	8.028E-13	0.1199	0.1198	0.1275	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.617	4.1E-05	4.07533E-05	8.0016E-13	0.1198	0.1197	0.1246	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.643	4.09987E-05	4.07533E-05	7.948E-13	0.1196	0.1196	0.1187	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.677	4.09973E-05	4.07533E-05	7.8952E-13	0.1195	0.1195	0.113	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.712	4.10013E-05	4.07573E-05	7.868E-13	0.1194	0.1194	0.1101	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.738	4.10027E-05	4.07547E-05	7.816E-13	0.1193	0.1192	0.1045	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.772	4.1E-05	4.0752E-05	7.7904E-13	0.1191	0.1191	0.1018	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.798	4.1E-05	4.0756E-05	7.7408E-13	0.119	0.119	0.0965	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.833	4.10053E-05	4.07587E-05	7.7128E-13	0.119	0.1189	0.0936	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.867	4.10107E-05	4.07587E-05	7.6568E-13	0.119	0.1188	0.0875	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.893	4.10107E-05	4.0764E-05	7.6136E-13	0.1189	0.1188	0.0828	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
18524524.928	4.10147E-05	4.0768E-05	7.5984E-13	0.1188	0.1188	0.0816	15.84917	290.1717	302.1006	6.797041	81.88445	103.04	103.04	5.953369	2.821899	6.123997	4.536377	90780.37	1208.656	0.1989949	-4.255711
